"","bakery_name","info"
"19","Frostings","Frostings: Cupcakes are the star at this gourmet bake shop that has appeared on Food Network’s ""Cupcake Wars."" 11331 W. Broad St., Suite 137, 804-360-2712"
"20","Idle Hands Bread Company","Idle Hands Bread Company: Owner Jay Metzler crafts a variety of pastries and breads, in addition to gluten-free and vegan options. 407 Strawberry St., 804-409-5540"
"21","Indian Pastry House","Indian Pastry House: 3409 Old Parham Road, 804-332-5751"
"22","JC Desserts","JC Desserts: Operating out of Hatch Kitchen, customers can place orders online for chocolates that resemble edible works of art, cakes and pastries. 2601 Maury St., Unit 2, 804-536-5644"
"23","JJ’s Makery","JJ’s Makery: Two sisters and WPA Bakery alumnae operate this Church Hill bakery offering a little bit of everything. 2707 E. Marshall St., 804-658-3445"
"24","La Sabrosita Bakery","La Sabrosita Bakery: Family-owned shop serving Latin American baked goods including sweet breads, conchas and churros. 7730 Midlothian Turnpike, #A, 804-986-9695"
"25","Lebanese Bakery","Lebanese Bakery: Owned by a husband-and-wife duo offering fatayer, Lebanese brick-oven flatbreads, baklava and more. 6215 W. Broad St., 804-525-4983"
"26","Mediterranean Bakery","Mediterranean Bakery: This bakery and deli offers a variety of traditional Greek, Turkish and Middle Eastern fare. 9004 Quioccasin Road, 804-754-8895"
"27","Michaela’s Quality Bake Shop","Michaela’s Quality Bake Shop: Owner and North Side native Michael Hatcher earned his chops at Thalhimers bakery and is known for his version of the legendary six-layer cake. 9 W. Brookland Park Blvd., 804-321-0025"
"28","Minglewood Bake Shop","Minglewood Bake Shop: A trans-owned, 100% vegan bakery in Carytown serving cupcakes, Cosmic Brownie riffs and more. 3337 W. Cary St., 804-206-3181"
"29","Mixing Bowl Bakery","Mixing Bowl Bakery: Open since 1926, this longstanding bakery specializes in wedding and specialty cakes as well as pies. 8540 Patterson Ave., 804-288-2712"
"30","Montana Gold Bread Co.","Montana Gold Bread Co.: Carytown bakery operating since 1994 stocked with a variety of fresh-made breads. 3543 W. Cary St., 804-359-7700"
"31","Mo’s Sweet Minis","Mo’s Sweet Minis: Stop by for cookies, cupcakes and mini-sized versions of the latter. 902 W. Broad St., 804-643-2252"
"32","Morsels","Morsels: Late-night desserterie; currently closed except for custom orders. 4040 MacArthur Ave., 804-252-9792"
"33","Nate’s Bagels","Nate’s Bagels: Fresh-baked bagels daily dressed up with homemade schmears; unique breakfast sandwiches. 21 S. Allen Ave., 804-939-5310"
"34","Norwood Cottage Bakery","Norwood Cottage Bakery: A vendor at the RVA Big Market, Norwood specializes in bread with experimental flavors and ingredients. 4308 Hermitage Road"
"35","Panaderia El Globo","Panaderia El Globo: Open for more than 35 years, specializing in authentic Mexican sweet breads. 5701 Hull St., 804-447-1963"
"36","Pao Cakes","Pao Cakes: Festive and immaculately decorated wedding cakes, birthday cakes and more. 8308 Staples Mill Road, 804-264-8808"
"37","Pearl’s Bake Shoppe","Pearl’s Bake Shoppe: Named for the owner's grandmother, Pearl’s is known for its cakes, cupcakes, gluten-free options and elegant confections. 5811 Patterson Ave., 804-285-2253"
"38","Poor Georgie’s Bake Shop","Poor Georgie’s Bake Shop: Often at farmers markets around the region, the Black-owned bakeshop is known for whoopie pies, oatmeal cream pies, cinnamon rolls and more. 804-258-4763"
"39","Proper Pie Co.","Proper Pie Co.: Church Hill shop with a rotating menu of savory New Zealand-style hand pies in addition to sweet selections. 2505 E. Broad St., #100, 804-343-7437"
"40","Red Eye Cookie Co.","Red Eye Cookie Co.: For Richmond’s insomniacs, Red Eye delivers warm cookies and cold milk until midnight. 935 W. Grace St., 804-620-7280"
"41","River City Chocolate","River City Chocolate: From s’mores bars to one-of-a-kind cheesecakes, this bakery produces small-batch treats that are full of flavor. 3930-E Castle Rock Road, Midlothian, 804-350-1384"
"42","River City Sweets","River City Sweets: Stunning cakes baked with high-quality ingredients for weddings, anniversaries, birthdays and all other special events. 1902 Elmsmere Ave., 540-748-8579"
"43","Sefton Coffee Company","Sefton Coffee Company: This local roastery bakes morning pastries, doughnuts and breakfast sandwiches, including gluten-free options. 24 N. Eighth St., 804-269-6375"
"44","Shyndigz","Shyndigz: Cary Street shop known for its massive slices of cake and rotating ""slice of the day"" calendar. 1903 W. Cary St., 804-938-3449"
"45","Sub Rosa Bakery","Sub Rosa Bakery: Known for its perfect pastries and fresh bread, the James Beard Award-nominated bakery led by brother-and-sister duo Evrim and Evin Dogu has milled its own flour since opening in 2012. 620 N. 25th St., 804-788-7672"
"46","Sugar and Salt","Sugar and Salt: Located in the heart of Jackson Ward, Sugar and Salt’s menu rotates daily, with a selection of pies, tartes, cakes and more. 416 N. Second St., 804-303-9144"
"47","Sugar Shack","Sugar Shack: Fresh doughnuts with unique flavors and vegan ingredients. 1001 N. Lombardy St., 804-278-5900; 1931 Huguenot Road, North Chesterfield, 804-728-1932"
"48","Sugar & Twine","Sugar & Twine: This Carytown walk-up window and coffee shop bakes artisan pastries every morning, with options like cheddar biscuits and brown butter-blackberry muffins. 2928 W. Cary St., 804-204-1755"
"49","Sunflower Gardenz","Sunflower Gardenz: Queer-owned vegan bakery offering sourdough breads, a variety of pastries and lunch items.1810 Powhatan St., 202-681-0169"
"50","Sweet Fix","Sweet Fix: Custom cake and dessert studio specializing in hand-designed wedding cakes. 9 W. 10th St., 804-918-9257"
"51","Sweets by Keet","Sweets by Keet: Meticulously made custom cakes, as well as an extensive menu of delectable treats. 10861 W. Broad St., Glen Allen, 804-660-4461"
"52","Tablespoons Bakery","Tablespoons Bakery: A South Side bake shop offering cookies, tarts and other baked treats along with work experience for young adults with developmental disabilities. 1707 Westover Hills Blvd., 804-482-1175"
"53","Tipsy Cupcakes","Tipsy Cupcakes: This Carytown confectionery from sisters Shay and Mesha Cousins bakes with booze. Cupcake flavors include Chocolate Hennessy Dream and Patron Margarita. 3423 W. Cary St., 804-326-4737"
"54","The Treat Shop","The Treat Shop: Everything from doughnuts to made-to-order funnel cakes, chocolate-dipped ice cream, barbecue chicken and more. 6114 Jahnke Road, 804-918-5125; 14736 Village Square Place, Midlothian, 804-608-0181"
"55","Up All Night Bakery","Up All Night Bakery: Helmed by a former culinary instructor, this Richmond microbakery offers traditional treats, ham-and-cheese and fruit-filled croissants, and more. 5411 Lakeside Ave. "
"56","The Weekly Bake","The Weekly Bake: This online bakery delivers “bake boxes” filled with diverse and delicious baked goods to your door."
"57","Westhampton Pastry Shop","Westhampton Pastry Shop: Home of the “Donut Squad,” this bakery also specializes in cookies, pastries, cupcakes, pies and buttercream-frosted wedding cakes. 5728 Patterson Ave., 804-282-4413"
"58","Williams Bakery","Williams Bakery: The Williams family traces its Richmond baking history to 1911, using time-tested recipes for its pastries, pies, cookies, bars, doughnuts and cakes. 8084 Mechanicsville Turnpike, Mechanicsville, 804-746-8370; 9502 Chamberlayne Road, Mechanicsville, 804-559-4240; 309 E. Nine Mile Road, 804-737-7801"
"59","Whisk","Whisk: Inspired by all things French, serving treats including macarons and croissants as well as espresso drinks. 2100 E. Main St., 804-728-1576"
"60","Wonder City Bakery","Wonder City Bakery: Cakes, cookies and other treats baked with local ingredients, striving to support other small businesses and bring the community together. 245 E. Broadway, #2, Hopewell, 804-451-6821"
"61","WPA Bakery","WPA Bakery: This South Side bakery has a range of sweet and savory pastries, including vegan and gluten-free options. 3414 Semmes Ave., 804-477-6449"
"62","7 Muffins a Day","7 Muffins a Day: Gluten-free, dairy-free bakery featuring sweet and savory baked goods and breads. 11307 Polo Parkway, Suite B, Midlothian, 804-213-2570"
